REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Colorado,2014,51,X,1.79181,63,6,3516
States,Connecticut,2014,51,X,1.54565,43,15,2782
States,Delaware,2014,51,X,0.660793,12,7,1816
States,District of Columbia,2014,51,X,12.9854,204,2,1571
States,Florida,2014,51,X,4.08084,836,62,20486
States,Georgia,2014,51,X,6.2816,1615,35,25710
States,Hawaii,2014,51,X,6.84982,187,21,2730
States,Idaho,2014,51,X,4.98096,157,9,3152
States,Illinois,2014,51,X,5.97552,3569,98,59727
States,Indiana,2014,51,X,7.04394,590,36,8376
States,Iowa,2014,51,X,0.810738,302,17,37250
States,Kansas,2014,51,X,8.10231,529,29,6529
States,Kentucky,2014,51,X,2.98465,737,20,24693
States,Louisiana,2014,51,X,6.9655,3212,77,46113
States,Maine,2014,51,X,1.29393,74,31,5719
States,Maryland,2014,51,X,3.41734,438,24,12817
States,Massachusetts,2014,51,X,1.43959,392,49,27230
States,Michigan,2014,51,X,2.88557,464,52,16080
States,Minnesota,2014,51,X,5.72078,302,15,5279
States,Mississippi,2014,51,X,10.328,2226,53,21553
States,Missouri,2014,51,X,6.14749,461,22,7499
States,Montana,2014,51,X,0.542373,16,11,2950
States,Nebraska,2014,51,X,2.57791,67,15,2599
States,Nevada,2014,51,X,1.80069,234,31,12995
States,New Hampshire,2014,51,X,0.282978,13,26,4594
States,New Jersey,2014,51,X,3.31837,340,26,10246
States,New Mexico,2014,51,X,3.79691,430,25,11325
States,New York,2014,51,X,2.65033,398,149,15017
States,North Carolina,2014,51,X,4.59095,688,52,14986
States,North Dakota,2014,51,X,3.67347,45,7,1225
States,Ohio,2014,51,X,3.35649,546,54,16267
States,Oklahoma,2014,51,X,4.44392,189,17,4253
States,Oregon,2014,51,X,0.8,25,17,3125
States,Pennsylvania,2014,51,X,4.4293,676,45,15262
States,Rhode Island,2014,51,X,0.483695,31,20,6409
States,South Carolina,2014,51,X,4.57035,242,12,5295
States,South Dakota,2014,51,X,1.84594,104,24,5634
States,Tennessee,2014,51,X,4.54309,349,47,7682
States,Texas,2014,51,X,12.9375,2595,83,20058
States,Utah,2014,51,X,4.09467,763,41,18634
States,Vermont,2014,51,X,2.18712,72,12,3292
States,Virginia,2014,51,X,5.44911,4704,124,86326
States,Washington,2014,51,X,2.01157,80,35,3977
States,West Virginia,2014,51,X,4.00363,661,45,16510
States,Wisconsin,2014,51,X,5.76586,428,29,7423
States,Wyoming,2014,51,X,2.23061,136,24,6097
States,Puerto Rico,2014,51,X,9.7204,445,7,4578
States,Virgin Islands,2014,51,X,5.89888,21,1,356
States,New York City,2014,51,X,2.57445,2673,93,103828
States,Alabama,2014,52,X,19.4177,1714,24,8827
States,Alaska,2014,52,X,2.34542,22,6,938
States,Arizona,2014,52,X,2.13564,313,58,14656
States,Arkansas,2014,52,X,10.5263,336,19,3192
States,California,2014,52,X,4.47729,1048,151,23407
States,Colorado,2014,52,X,3.23077,105,5,3250
States,Connecticut,2014,52,X,2.05696,65,18,3160
States,Delaware,2014,52,X,1.16183,14,7,1205
States,District of Columbia,2014,52,X,13.6364,108,2,792
States,Florida,2014,52,X,4.1698,610,62,14629
States,Georgia,2014,52,X,7.81293,1719,35,22002
States,Hawaii,2014,52,X,10.3704,210,21,2025
States,Idaho,2014,52,X,6.49795,190,9,2924
States,Illinois,2014,52,X,5.59515,2308,90,41250
States,Indiana,2014,52,X,8.96499,466,37,5198
States,Iowa,2014,52,X,0.92394,224,16,24244
States,Kansas,2014,52,X,8.62753,413,32,4787
States,Kentucky,2014,52,X,3.28006,665,18,20274
States,Louisiana,2014,52,X,7.28398,3473,76,47680
States,Maine,2014,52,X,1.90583,68,30,3568
States,Maryland,2014,52,X,4.59902,320,21,6958
States,Massachusetts,2014,52,X,2.27933,400,46,17549
States,Michigan,2014,52,X,4.93178,553,53,11213
States,Minnesota,2014,52,X,7.85111,251,16,3197
States,Mississippi,2014,52,X,11.5581,2359,53,20410
States,Missouri,2014,52,X,8.54034,471,22,5515
States,Montana,2014,52,X,1.47992,28,11,1892
States,Nebraska,2014,52,X,4.92802,89,16,1806
States,Nevada,2014,52,X,3.27054,342,30,10457
States,New Hampshire,2014,52,X,0.255195,7,24,2743
States,New Jersey,2014,52,X,4.33593,301,26,6942
States,New Mexico,2014,52,X,6.65274,637,24,9575
States,New York,2014,52,X,6.18794,592,150,9567
States,North Carolina,2014,52,X,8.65161,632,50,7305
States,North Dakota,2014,52,X,4.29799,60,10,1396
States,Ohio,2014,52,X,6.96472,835,53,11989
States,Oklahoma,2014,52,X,4.94555,109,18,2204
States,Oregon,2014,52,X,1.24159,24,17,1933
States,Pennsylvania,2014,52,X,7.0306,756,45,10753
States,Rhode Island,2014,52,X,1.39454,48,19,3442
States,South Carolina,2014,52,X,6.88426,251,11,3646
States,South Dakota,2014,52,X,3.01887,120,24,3975
States,Tennessee,2014,52,X,8.03229,398,48,4955
States,Texas,2014,52,X,7.69326,1242,73,16144
States,Utah,2014,52,X,5.92433,963,41,16255
States,Vermont,2014,52,X,2.79379,63,13,2255
States,Virginia,2014,52,X,9.87439,9716,124,98396
States,Washington,2014,52,X,2.50667,47,36,1875
States,West Virginia,2014,52,X,6.77623,870,42,12839
States,Wisconsin,2014,52,X,7.27175,270,28,3713
States,Wyoming,2014,52,X,2.61481,119,25,4551
States,Puerto Rico,2014,52,X,9.23584,504,7,5457
States,Virgin Islands,2014,52,X,1.57068,6,1,382
States,New York City,2014,52,X,3.29122,3079,91,93552
States,Alabama,2014,53,X,11.2212,1008,24,8983
States,Alaska,2014,53,X,2.36626,23,6,972
States,Arizona,2014,53,X,2.65764,424,59,15954
States,Arkansas,2014,53,X,5.00131,191,19,3819
States,California,2014,53,X,4.77128,1284,152,26911
States,Colorado,2014,53,X,4.69657,89,4,1895
States,Connecticut,2014,53,X,1.73913,34,15,1955
States,Delaware,2014,53,X,1.65687,31,9,1871
States,District of Columbia,2014,53,X,14.8148,68,2,459
States,Florida,2014,53,X,3.30756,539,67,16296
States,Georgia,2014,53,X,2.36888,570,36,24062
States,Hawaii,2014,53,X,13.8313,287,20,2075
States,Idaho,2014,53,X,7.98092,251,10,3145
States,Illinois,2014,53,X,4.32647,2035,95,47036
States,Indiana,2014,53,X,5.2339,273,37,5216
States,Iowa,2014,53,X,0.787931,211,16,26779
States,Kansas,2014,53,X,8.78582,466,32,5304
States,Kentucky,2014,53,X,3.45241,663,19,19204
States,Louisiana,2014,53,X,6.61988,3122,76,47161
States,Maine,2014,53,X,1.93678,87,30,4492
States,Maryland,2014,53,X,5.94148,467,22,7860
States,Massachusetts,2014,53,X,2.01187,383,46,19037
States,Michigan,2014,53,X,4.09173,455,52,11120
States,Minnesota,2014,53,X,5.72185,216,15,3775
States,Mississippi,2014,53,X,8.09211,1641,53,20279
States,Missouri,2014,53,X,7.63245,461,23,6040
States,Montana,2014,53,X,0.98668,20,11,2027
States,Nebraska,2014,53,X,3.54312,76,16,2145
States,Nevada,2014,53,X,4.10995,462,29,11241
States,New Hampshire,2014,53,X,0.721709,25,26,3464
States,New Jersey,2014,53,X,3.75445,274,26,7298
States,New Mexico,2014,53,X,5.62144,583,25,10371
States,New York,2014,53,X,4.54991,418,147,9187
States,North Carolina,2014,53,X,7.65419,695,50,9080
States,North Dakota,2014,53,X,4.04858,60,9,1482
States,Ohio,2014,53,X,4.96567,593,51,11942
States,Oklahoma,2014,53,X,6.69665,134,17,2001
States,Oregon,2014,53,X,1.39123,33,16,2372
States,Pennsylvania,2014,53,X,6.34131,625,43,9856
States,Rhode Island,2014,53,X,1.21335,48,20,3956
States,South Carolina,2014,53,X,5.4304,229,14,4217
States,South Dakota,2014,53,X,2.82456,161,25,5700
States,Tennessee,2014,53,X,6.78288,428,51,6310
States,Texas,2014,53,X,11.3225,1684,80,14873
States,Utah,2014,53,X,5.81484,1064,41,18298
States,Vermont,2014,53,X,5.03401,111,12,2205
States,Virginia,2014,53,X,8.66942,8577,124,98934
States,Washington,2014,53,X,3.17919,44,36,1384
States,West Virginia,2014,53,X,7.37364,1116,48,15135
States,Wisconsin,2014,53,X,5.48373,246,28,4486
States,Wyoming,2014,53,X,3.15126,150,25,4760
States,Puerto Rico,2014,53,X,9.01288,483,7,5359
States,Virgin Islands,2014,53,X,0.928074,4,1,431
States,New York City,2014,53,X,3.4571,3269,66,94559
States,Alabama,2015,1,X,5.42916,525,23,9670
States,Alaska,2015,1,X,0.975177,11,8,1128
States,Arizona,2015,1,X,2.65774,639,60,24043
States,Arkansas,2015,1,X,5.29005,321,19,6068
States,California,2015,1,X,3.99683,1865,157,46662
States,Colorado,2015,1,X,3.56194,134,6,3762
States,Connecticut,2015,1,X,2.2769,62,16,2723
States,Delaware,2015,1,X,1.35514,29,9,2140
States,District of Columbia,2015,1,X,12.6485,181,2,1431
States,Florida,2015,1,X,2.21243,492,63,22238
States,Georgia,2015,1,X,3.11618,762,34,24453
States,Hawaii,2015,1,X,11.99,335,19,2794
States,Idaho,2015,1,X,5.63751,214,10,3796
States,Illinois,2015,1,X,3.07323,1397,93,45457
States,Indiana,2015,1,X,3.40893,239,36,7011
States,Iowa,2015,1,X,4.01544,104,12,2590
States,Kansas,2015,1,X,6.33073,397,31,6271
States,Kentucky,2015,1,X,2.36296,494,20,20906
States,Louisiana,2015,1,X,4.77709,2127,75,44525
States,Maine,2015,1,X,2.23803,129,30,5764
States,Maryland,2015,1,X,2.78897,346,24,12406
States,Massachusetts,2015,1,X,1.76238,468,47,26555
States,Michigan,2015,1,X,2.35103,391,52,16631
States,Minnesota,2015,1,X,3.64327,163,15,4474
States,Mississippi,2015,1,X,5.57493,1103,53,19785
States,Missouri,2015,1,X,4.37008,333,23,7620
States,Montana,2015,1,X,1.40569,43,11,3059
States,Nebraska,2015,1,X,2.82328,81,15,2869
States,Nevada,2015,1,X,3.93077,486,27,12364
States,New Hampshire,2015,1,X,1.11036,49,26,4413
States,New Jersey,2015,1,X,3.62311,343,26,9467
States,New Mexico,2015,1,X,3.97067,509,26,12819
States,New York,2015,1,X,4.20694,370,84,8795
States,North Carolina,2015,1,X,3.79011,567,52,14960
States,North Dakota,2015,1,X,3.37739,69,10,2043
States,Ohio,2015,1,X,3.43176,480,57,13987
States,Oklahoma,2015,1,X,5.88416,192,19,3263
States,Oregon,2015,1,X,1.52801,63,17,4123
States,Pennsylvania,2015,1,X,4.48301,558,44,12447
States,Rhode Island,2015,1,X,1.94729,99,20,5084
States,South Carolina,2015,1,X,3.06247,150,12,4898
States,South Dakota,2015,1,X,2.52855,155,25,6130
States,Tennessee,2015,1,X,5.80371,560,49,9649
States,Texas,2015,1,X,9.06724,1776,84,19587
States,Utah,2015,1,X,4.24488,900,43,21202
States,Vermont,2015,1,X,3.10345,108,12,3480
States,Virginia,2015,1,X,6.49073,5679,124,87494
States,Washington,2015,1,X,3.64139,158,41,4339
States,West Virginia,2015,1,X,6.14404,964,44,15690
States,Wisconsin,2015,1,X,3.71117,221,29,5955
States,Wyoming,2015,1,X,2.58503,152,24,5880
States,Puerto Rico,2015,1,X,9.3279,458,6,4910
States,Virgin Islands,2015,1,X,0.819672,3,1,366
States,New York City,2015,1,X,2.97957,3029,93,101659
States,Alabama,2015,2,X,8.25184,886,23,10737
States,Alaska,2015,2,X,1.03189,11,6,1066
States,Arizona,2015,2,X,3.21995,674,54,20932
States,Arkansas,2015,2,X,7.43509,378,17,5084
States,California,2015,2,X,4.33141,2065,152,47675
States,Colorado,2015,2,X,2.83366,100,6,3529
States,Connecticut,2015,2,X,3.10894,127,22,4085
States,Delaware,2015,2,X,4.00863,130,13,3243
States,District of Columbia,2015,2,X,10.8407,196,2,1808
States,Florida,2015,2,X,2.04729,458,64,22371
States,Georgia,2015,2,X,2.13011,480,33,22534
States,Hawaii,2015,2,X,16.1445,438,18,2713
States,Idaho,2015,2,X,5.98291,196,8,3276
States,Illinois,2015,2,X,2.31324,1120,93,48417
States,Indiana,2015,2,X,3.31008,280,38,8459
States,Iowa,2015,2,X,2.3933,60,10,2507
States,Kansas,2015,2,X,6.01526,410,30,6816
States,Kentucky,2015,2,X,1.30873,288,21,22006
States,Louisiana,2015,2,X,4.79875,2028,72,42261
States,Maine,2015,2,X,3.02053,178,31,5893
States,Maryland,2015,2,X,2.56252,291,24,11356
States,Massachusetts,2015,2,X,2.46778,674,46,27312
States,Michigan,2015,2,X,2.09382,366,54,17480
States,Minnesota,2015,2,X,3.23494,160,15,4946
States,Mississippi,2015,2,X,5.25514,1000,47,19029
States,Missouri,2015,2,X,3.3668,285,23,8465
States,Montana,2015,2,X,1.73021,59,11,3410
States,Nebraska,2015,2,X,2.54025,71,15,2795
States,Nevada,2015,2,X,3.4213,468,28,13679
States,New Hampshire,2015,2,X,1.02768,49,27,4768
States,New Jersey,2015,2,X,3.34287,339,27,10141
States,New Mexico,2015,2,X,4.1132,500,26,12156
States,New York,2015,2,X,5.391,526,86,9757
States,North Carolina,2015,2,X,3.70417,591,50,15955
States,North Dakota,2015,2,X,7.65421,170,12,2221
States,Ohio,2015,2,X,2.39774,391,56,16307
States,Oklahoma,2015,2,X,11.0353,356,17,3226
States,Oregon,2015,2,X,2.22525,98,18,4404
States,Pennsylvania,2015,2,X,3.79356,577,46,15210
States,Rhode Island,2015,2,X,2.50329,133,20,5313
States,South Carolina,2015,2,X,1.88298,121,14,6426
States,South Dakota,2015,2,X,3.21231,215,25,6693
States,Tennessee,2015,2,X,3.20806,344,52,10723
States,Texas,2015,2,X,9.74748,2675,97,27443
States,Utah,2015,2,X,3.87381,722,43,18638
States,Vermont,2015,2,X,3.9726,145,13,3650
States,Virginia,2015,2,X,4.9923,4083,124,81786
States,Washington,2015,2,X,4.17528,202,41,4838
States,West Virginia,2015,2,X,5.2228,899,45,17213
States,Wisconsin,2015,2,X,3.28217,201,31,6124
States,Wyoming,2015,2,X,3.02352,189,25,6251
States,Puerto Rico,2015,2,X,8.60215,424,7,4929
States,Virgin Islands,2015,2,X,3.56164,13,1,365
States,New York City,2015,2,X,3.23343,3364,92,104038
States,Alabama,2015,3,X,9.66053,1033,24,10693
States,Alaska,2015,3,X,2.09351,30,8,1433
States,Arizona,2015,3,X,3.87231,763,54,19704
States,Arkansas,2015,3,X,7.92445,365,16,4606
States,California,2015,3,X,4.88005,2140,152,43852
States,Colorado,2015,3,X,2.68916,102,5,3793
States,Connecticut,2015,3,X,5.03205,157,20,3120
States,Delaware,2015,3,X,3.54913,108,13,3043
States,District of Columbia,2015,3,X,6.64606,86,2,1294
States,Florida,2015,3,X,1.85071,361,59,19506
States,Georgia,2015,3,X,2.36744,588,35,24837
States,Hawaii,2015,3,X,15.7855,415,19,2629
States,Idaho,2015,3,X,6.13566,218,10,3553
States,Illinois,2015,3,X,2.21313,1158,93,52324
States,Indiana,2015,3,X,1.99163,176,39,8837
States,Iowa,2015,3,X,2.58475,61,10,2360
States,Kansas,2015,3,X,6.72863,485,31,7208
States,Kentucky,2015,3,X,1.09457,239,21,21835
States,Louisiana,2015,3,X,5.40748,2471,74,45696
States,Maine,2015,3,X,3.08197,188,31,6100
States,Maryland,2015,3,X,2.51534,291,25,11569
States,Massachusetts,2015,3,X,3.55623,961,51,27023
States,Michigan,2015,3,X,1.89619,278,52,14661
States,Minnesota,2015,3,X,3.62635,158,14,4357
States,Mississippi,2015,3,X,6.33119,1238,48,19554
States,Missouri,2015,3,X,3.2881,189,22,5748
States,Montana,2015,3,X,1.84049,57,11,3097
States,Nebraska,2015,3,X,5.80942,164,14,2823
States,Nevada,2015,3,X,3.99324,520,29,13022
States,New Hampshire,2015,3,X,1.9408,99,27,5101
States,New Jersey,2015,3,X,4.97434,378,24,7599
States,New Mexico,2015,3,X,4.23064,507,26,11984
States,New York,2015,3,X,5.58831,635,82,11363
States,North Carolina,2015,3,X,4.64486,703,51,15135
States,North Dakota,2015,3,X,5.93359,109,9,1837
States,Ohio,2015,3,X,1.86139,271,54,14559
States,Oklahoma,2015,3,X,11.3323,279,17,2462
States,Oregon,2015,3,X,2.16042,87,17,4027
States,Pennsylvania,2015,3,X,5.3234,893,47,16775
States,Rhode Island,2015,3,X,4.52086,259,19,5729
States,South Carolina,2015,3,X,2.04403,117,13,5724
States,South Dakota,2015,3,X,3.34881,202,24,6032
States,Tennessee,2015,3,X,3.76675,385,54,10221
States,Texas,2015,3,X,7.17791,2984,99,41572
States,Utah,2015,3,X,3.77937,690,43,18257
States,Vermont,2015,3,X,6.78543,259,13,3817
States,Virginia,2015,3,X,4.34338,3524,125,81135
States,Washington,2015,3,X,3.60444,156,40,4328
