DF_927_1_GFP_tdt	DF_927_1_GFP	DF_980_3_GFP_tdt	DF_980_3_GFP	Gene	gene_symbol
10.1943665122253	8.26882669116236	8.02605979950632	5.52804847410425	0610005C13Rik	0610005C13Rik
1815.52399976812	1627.77759720311	2030.5931292751	2116.32122416958	0610007P14Rik	0610007P14Rik
734.92114947224	620.162001837177	1260.09138852249	1266.84444198222	0610009B22Rik	0610009B22Rik
171.450709523789	161.832750955606	163.530968414941	300.357300426331	0610009L18Rik	0610009L18Rik
2442.01415997396	3314.61824220023	2080.75600302201	2408.38645188475	0610009O20Rik	0610009O20Rik
0.926760592020479	0	0	0	0610010B08Rik	0610010B08Rik
1144.54933114529	735.92557551345	1234.0066941741	970.172507205296	0610010F05Rik	0610010F05Rik
1567.15216110663	1484.84502154158	1998.48889007707	2975.01142048044	0610010K14Rik	0610010K14Rik
1893.37188949784	2160.52628830514	3194.37180020351	3143.61689894062	0610011F06Rik	0610011F06Rik
1832.20569042449	1611.23994382078	2882.35872549771	3545.32175472552	0610012G03Rik	0610012G03Rik
3218.63953608712	2598.77410293674	2145.967738893	2746.51875021746	0610030E20Rik	0610030E20Rik
0.926760592020479	0	0	0.921341412350708	0610031O16Rik	0610031O16Rik
1766.40568839103	1484.84502154158	2254.31954618634	1997.46818197634	0610037L13Rik	0610037L13Rik
5.56056355212287	7.08756573528203	11.0358322243212	22.112193896417	0610038B21Rik	0610038B21Rik
1.85352118404096	0	1.00325747493829	5.52804847410425	0610039H22Rik	0610039H22Rik
8.34084532818431	12.9938705146837	10.0325747493829	14.7414625976113	0610039K10Rik	0610039K10Rik
35.2169024967782	25.9877410293674	50.1628737469145	47.9097534422368	0610040B10Rik	0610040B10Rik
4.6338029601024	3.54378286764101	0	2.76402423705212	0610040F04Rik	0610040F04Rik
3081.47896846809	4924.67692506513	4348.11789638255	3049.64007488084	0610040J01Rik	0610040J01Rik
21.315493616471	1.18126095588034	6.01954484962974	11.9774383605592	0610043K17Rik	0610043K17Rik
577.371848828758	187.820491984974	185.602632863584	259.8182782829	1010001N08Rik	1010001N08Rik
736.774670656281	610.711914190135	1339.34872904262	1783.71697431097	1110001J03Rik	1110001J03Rik
136.23380702701	107.494746985111	147.478848815929	174.133526934284	1110002L01Rik	1110002L01Rik
1664.46202326878	1632.50264102663	2577.36845311647	2665.4407059306	1110004E09Rik	1110004E09Rik
5327.01988293371	4365.94049293373	6190.09862036925	5876.31552797282	1110004F10Rik	1110004F10Rik
64.8732414414335	90.957093602786	57.1856760714825	64.4938988645496	1110006O24Rik	1110006O24Rik
1238.15215093936	1024.15324874825	1458.73636856027	1547.85357274919	1110007C09Rik	1110007C09Rik
3717.23673459414	2693.27497940717	6105.82499247443	6041.23564078359	1110008F13Rik	1110008F13Rik
512.498607387325	590.630477940169	538.749264041861	585.0517968427	1110008L16Rik	1110008L16Rik
1925.80851021856	2276.28986198141	4308.99085485995	3316.82908446255	1110008P14Rik	1110008P14Rik
689.509880463236	620.162001837177	974.163008165079	764.713372251088	1110012L19Rik	1110012L19Rik
0	0	0	0	1110015O18Rik	1110015O18Rik
17.6084512483891	29.5315238970084	15.0488621240743	36.8536564940283	1110017D15Rik	1110017D15Rik
66.7267626254745	70.8756573528203	108.351807293335	133.594504790853	1110019D14Rik	1110019D14Rik
94.5295803860889	70.8756573528203	73.2377956704951	107.796945245033	1110020A21Rik	1110020A21Rik
0	0	0	0	1110025L11Rik	1110025L11Rik
53.7521143371878	16.5376533823247	10.0325747493829	19.3481696593649	1110028F11Rik	1110028F11Rik
1.85352118404096	4.72504382352135	0	3.68536564940283	1110028F18Rik	1110028F18Rik
955.490170373114	970.996505733638	888.886122795324	981.228604153504	1110032A03Rik	1110032A03Rik
