Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate
Lancaster,06/01/2020,30,29.9,3226,543557,5.5,5.5,593.5
Delaware,08/10/2020,71,55.3,9382,564751,12.6,9.8,1661.3
Warren,06/15/2020,0,0,5,39498,0,0,12.7
Washington,04/19/2020,1,2,87,207346,0.5,1,42
Cumberland,08/22/2020,6,10.7,1457,251423,2.4,4.3,579.5
Snyder,06/21/2020,0,0.1,63,40540,0,0.4,155.4
Lawrence,07/03/2020,4,1.9,117,86184,4.6,2.2,135.8
Chester,11/25/2020,258,177.3,11650,522046,49.4,34,2231.6
Greene,05/24/2020,0,0,28,36506,0,0,76.7
Philadelphia,07/29/2020,142,166.7,25498,1584138,9,10.5,1609.6
Bedford,06/09/2020,0,0.6,47,48176,0,1.2,97.6
Snyder,06/03/2020,6,1.7,53,40540,14.8,4.2,130.7
Elk,08/11/2020,4,1.1,58,30169,13.3,3.8,192.3
York,10/04/2020,21,39.9,5130,448273,4.7,8.9,1144.4
Union,10/27/2020,3,8,703,44785,6.7,17.9,1569.7
Bucks,09/24/2020,32,38.1,8728,628195,5.1,6.1,1389.4
Lehigh,11/25/2020,230,212.6,10686,368100,62.5,57.7,2903
Centre,07/01/2020,6,2.1,214,162805,3.7,1.3,131.4
York,06/12/2020,16,13.7,1168,448273,3.6,3.1,260.6
Philadelphia,06/12/2020,106,106.4,19669,1584138,6.7,6.7,1241.6
Luzerne,09/15/2020,20,11.1,3996,317646,6.3,3.5,1258
Delaware,05/06/2020,131,113.7,4719,564751,23.2,20.1,835.6
Susquehanna,06/14/2020,1,2.4,172,40589,2.5,6,423.8
Union,10/22/2020,13,5.9,672,44785,29,13.1,1500.5
Crawford,05/25/2020,0,0.1,25,85063,0,0.2,29.4
Cameron,09/16/2020,0,0,8,4492,0,0,178.1
Westmoreland,06/03/2020,1,1.7,459,350611,0.3,0.5,130.9
Bedford,06/05/2020,0,0.6,45,48176,0,1.2,93.4
Wayne,06/05/2020,1,0.6,124,51276,2,1.1,241.8
Snyder,11/16/2020,52,23.3,764,40540,128.3,57.4,1884.6
Crawford,05/11/2020,0,0.3,24,85063,0,0.3,28.2
Bucks,11/16/2020,217,265,13565,628195,34.5,42.2,2159.4
Washington,11/03/2020,48,42,2281,207346,23.1,20.3,1100.1
Clearfield,07/11/2020,5,2.3,94,79388,6.3,2.9,118.4
Warren,12/01/2020,29,19.9,333,39498,73.4,50.3,843.1
Potter,06/18/2020,0,0,13,16622,0,0,78.2
Pennsylvania,11/02/2020,2737,2363.7,215334,12807060,21.4,18.5,1681.4
Clinton,09/20/2020,8,3.7,201,38684,20.7,9.6,519.6
Dauphin,03/27/2020,8,4,28,277097,2.9,1.4,10.1
Lawrence,09/19/2020,2,2.3,502,86184,2.3,2.7,582.5
Montour,09/17/2020,0,0.7,162,18240,0,3.9,888.2
Delaware,08/23/2020,27,49.1,10112,564751,4.8,8.7,1790.5
Philadelphia,05/01/2020,421,290.3,13042,1584138,26.6,18.3,823.3
Centre,09/29/2020,35,90.4,2762,162805,21.5,55.5,1696.5
Bedford,09/04/2020,1,1.3,179,48176,2.1,2.7,371.6
Blair,07/14/2020,6,3,111,122492,4.9,2.4,90.6
Cameron,05/22/2020,0,0,2,4492,0,0,44.5
Columbia,09/17/2020,6,2.9,866,65456,9.2,4.4,1323
Lebanon,11/18/2020,76,72.9,4369,141314,53.8,51.6,3091.7
Venango,07/13/2020,8,2.9,47,51266,15.6,5.6,91.7
Cameron,06/10/2020,0,0,2,4492,0,0,44.5
Carbon,11/20/2020,19,23.6,1032,64227,29.6,36.7,1606.8
Union,08/10/2020,20,9.3,255,44785,44.7,20.7,569.4
Blair,05/11/2020,1,0.7,34,122492,0.8,0.6,27.8
Beaver,06/22/2020,6,2.4,638,164742,3.6,1.5,387.3
Mckean,05/03/2020,0,0.1,9,40968,0,0.3,22
Lawrence,03/25/2020,3,0.4,3,86184,3.5,0.5,3.5
Adams,06/21/2020,3,3,318,102811,2.9,2.9,309.3
Westmoreland,07/07/2020,28,31.7,902,350611,8,9,257.3
Adams,03/26/2020,1,0.6,8,102811,1,0.6,7.8
Elk,09/18/2020,0,0,70,30169,0,0,232
Berks,08/22/2020,31,31.4,5817,420152,7.4,7.5,1384.5
Pennsylvania,10/08/2020,1404,1142,169700,12807060,11,8.9,1325.1
Cumberland,10/17/2020,21,21.4,2251,251423,8.4,8.5,895.3
Snyder,08/17/2020,2,2.6,132,40540,4.9,6.3,325.6
Fayette,04/03/2020,3,2,27,130441,2.3,1.5,20.7
Pennsylvania,11/29/2020,4386,6580.1,361938,12807060,34.2,51.4,2826.1
Bradford,11/30/2020,91,34.4,1950,60833,149.6,56.6,3205.5
Wayne,11/29/2020,11,18,539,51276,21.5,35.1,1051.2
Wayne,06/23/2020,0,0.6,131,51276,0,1.1,255.5
Lehigh,03/22/2020,11,4.6,32,368100,3,1.2,8.7
Susquehanna,06/03/2020,12,3.1,124,40589,29.6,7.7,305.5
Clarion,07/20/2020,1,0.7,72,38779,2.6,1.8,185.7
Jefferson,06/04/2020,1,1.1,17,43641,2.3,2.6,39
York,09/22/2020,44,38.3,4606,448273,9.8,8.5,1027.5
Columbia,04/16/2020,20,12.6,173,65456,30.6,19.2,264.3
Carbon,05/15/2020,4,2.3,217,64227,6.2,3.6,337.9
Carbon,05/27/2020,0,1.4,233,64227,0,2.2,362.8
Columbia,11/29/2020,3,16.6,1484,65456,4.6,25.3,2267.2
Susquehanna,11/05/2020,3,5.4,451,40589,7.4,13.4,1111.1
Somerset,11/14/2020,33,47.1,903,73952,44.6,63.7,1221.1
Fulton,10/08/2020,0,0.7,56,14523,0,4.9,385.6
Potter,08/27/2020,0,0.3,24,16622,0,1.7,144.4
Indiana,08/03/2020,4,6.6,279,84501,4.7,7.8,330.2
Chester,08/16/2020,20,30.4,5336,522046,3.8,5.8,1022.1
Elk,10/28/2020,4,5.1,174,30169,13.3,17,576.8
Carbon,08/13/2020,3,2,382,64227,4.7,3.1,594.8
Clearfield,04/19/2020,0,0.3,16,79388,0,0.4,20.2
Beaver,03/21/2020,1,1.1,8,164742,0.6,0.7,4.9
Wyoming,03/19/2020,0,0.1,1,27046,0,0.5,3.7
Mercer,05/18/2020,2,2.6,98,110683,1.8,2.3,88.5
Pennsylvania,04/16/2020,1766,1373.4,30938,12807060,13.8,10.7,241.6
Huntingdon,11/30/2020,27,23.1,1768,45168,59.8,51.2,3914.3
Armstrong,07/29/2020,4,6.3,178,65263,6.1,9.6,272.7
Berks,09/21/2020,42,36.6,6911,420152,10,8.7,1644.9
Cameron,07/27/2020,0,0,5,4492,0,0,111.3
Mercer,11/19/2020,56,68.6,2195,110683,50.6,62,1983.1
Montgomery,07/20/2020,43,43.7,9289,828604,5.2,5.3,1121
Franklin,06/27/2020,2,5.1,919,154835,1.3,3.3,593.5
Fulton,10/16/2020,0,0.4,61,14523,0,3,420
Columbia,10/10/2020,4,6.6,1005,65456,6.1,10,1535.4
Fayette,04/20/2020,2,1.4,76,130441,1.5,1.1,58.3
Adams,06/06/2020,2,3.3,275,102811,1.9,3.2,267.5
York,09/30/2020,27,47,4976,448273,6,10.5,1110
York,04/30/2020,11,12.4,676,448273,2.5,2.8,150.8
Allegheny,03/19/2020,13,4.1,29,1218452,1.1,0.3,2.4
Cameron,06/03/2020,0,0,2,4492,0,0,44.5
Tioga,05/19/2020,0,0,16,40763,0,0,39.3
Berks,09/07/2020,35,35.3,6346,420152,8.3,8.4,1510.4
Mckean,08/12/2020,0,0,35,40968,0,0,85.4
Crawford,06/03/2020,1,1,33,85063,1.2,1.2,38.8
Pike,07/27/2020,1,1.3,525,55933,1.8,2.3,938.6
Monroe,08/12/2020,5,6.1,1657,169507,2.9,3.6,977.5
Berks,04/09/2020,111,77.9,772,420152,26.4,18.5,183.7
Cambria,04/05/2020,0,0.7,7,131730,0,0.5,5.3
Cumberland,07/27/2020,23,17.6,1181,251423,9.1,7,469.7
Armstrong,06/09/2020,0,0.1,65,65263,0,0.2,99.6
Venango,04/02/2020,0,0.6,4,51266,0,1.1,7.8
Sullivan,07/02/2020,0,0.4,6,6071,0,7.1,98.8
Beaver,05/26/2020,0,3.9,579,164742,0,2.3,351.5
Lancaster,07/25/2020,47,38.4,5318,543557,8.6,7.1,978.4
Philadelphia,11/24/2020,760,896.9,58412,1584138,48,56.6,3687.3
Venango,07/25/2020,2,0.9,56,51266,3.9,1.7,109.2
Chester,10/21/2020,46,35.6,7763,522046,8.8,6.8,1487
Bucks,07/08/2020,35,27,6056,628195,5.6,4.3,964
York,08/27/2020,33,31.4,3270,448273,7.4,7,729.5
Berks,11/28/2020,177,191.6,13873,420152,42.1,45.6,3301.9
Clinton,09/13/2020,1,0.9,175,38684,2.6,2.2,452.4
Bradford,05/14/2020,0,0.6,44,60833,0,0.9,72.3
Montgomery,09/23/2020,33,36.4,12087,828604,4,4.4,1458.7
Mckean,04/30/2020,0,0.1,9,40968,0,0.3,22
Allegheny,03/01/2020,0,,0,1218452,0,,0
Allegheny,03/02/2020,0,,0,1218452,0,,0
Allegheny,03/03/2020,0,,0,1218452,0,,0
Allegheny,03/04/2020,0,,0,1218452,0,,0
Allegheny,03/05/2020,0,,0,1218452,0,,0
Allegheny,03/06/2020,0,,0,1218452,0,,0
Allegheny,03/07/2020,0,,0,1218452,0,,0
Allegheny,03/08/2020,0,0,0,1218452,0,0,0
Allegheny,03/09/2020,0,0,0,1218452,0,0,0
Allegheny,03/10/2020,0,0,0,1218452,0,0,0
Allegheny,03/11/2020,0,0,0,1218452,0,0,0
Allegheny,03/12/2020,0,0,0,1218452,0,0,0
Allegheny,03/13/2020,0,0,0,1218452,0,0,0
Columbia,11/27/2020,23,17.6,1462,65456,35.1,26.8,2233.6
Pike,04/05/2020,12,13.4,140,55933,21.5,24,250.3
Cumberland,09/07/2020,12,10.4,1632,251423,4.8,4.1,649.1
Mckean,08/10/2020,0,0.1,35,40968,0,0.3,85.4
Delaware,08/20/2020,38,55.6,9986,564751,6.7,9.8,1768.2
Juniata,04/28/2020,1,1.3,81,24704,4,5.2,327.9
Venango,04/30/2020,0,0,8,51266,0,0,15.6
Armstrong,08/27/2020,7,5.4,308,65263,10.7,8.3,471.9
Huntingdon,09/27/2020,0,1,406,45168,0,2.2,898.9
Cambria,11/07/2020,43,50.3,1583,131730,32.6,38.2,1201.7
Pennsylvania,05/16/2020,550,755.4,63416,12807060,4.3,5.9,495.2
Clearfield,11/20/2020,67,48.1,1147,79388,84.4,60.6,1444.8
Erie,06/05/2020,33,12.7,367,272061,12.1,4.7,134.9
Perry,08/29/2020,1,2.3,180,46139,2.2,5,390.1
Philadelphia,11/23/2020,998,935.4,57652,1584138,63,59,3639.3
Wayne,08/11/2020,0,0.7,162,51276,0,1.4,315.9
Greene,03/26/2020,1,0.6,4,36506,2.7,1.6,11
Bucks,05/11/2020,77,96.6,4302,628195,12.3,15.4,684.8
Lehigh,10/25/2020,65,50.1,6505,368100,17.7,13.6,1767.2
Bradford,11/01/2020,45,39.9,940,60833,74,65.5,1545.2
Chester,03/22/2020,9,5.1,39,522046,1.7,1,7.5
Indiana,04/20/2020,2,1.6,54,84501,2.4,1.9,63.9
Clearfield,07/07/2020,3,1.6,85,79388,3.8,2,107.1
Luzerne,03/22/2020,4,1.6,12,317646,1.3,0.5,3.8
Perry,08/17/2020,4,3.7,154,46139,8.7,8.1,333.8
Schuylkill,09/03/2020,1,2.3,1006,142067,0.7,1.6,708.1
Susquehanna,07/09/2020,2,1,192,40589,4.9,2.5,473
Cumberland,10/27/2020,28,24.4,2480,251423,11.1,9.7,986.4
Bucks,08/08/2020,24,29.1,7247,628195,3.8,4.6,1153.6
York,05/03/2020,21,13.7,725,448273,4.7,3.1,161.7
Schuylkill,08/27/2020,3,2.6,990,142067,2.1,1.8,696.9
Northampton,08/28/2020,20,8.7,4113,304807,6.6,2.9,1349.4
Lebanon,12/01/2020,160,87.6,5550,141314,113.2,62,3927.4
Clearfield,09/06/2020,2,4,259,79388,2.5,5,326.2
Adams,03/19/2020,3,0.6,4,102811,2.9,0.6,3.9
Mckean,04/08/2020,0,0.1,2,40968,0,0.3,4.9
Jefferson,05/28/2020,0,0,9,43641,0,0,20.6
Adams,08/31/2020,7,10.7,650,102811,6.8,10.4,632.2
Schuylkill,10/06/2020,12,17.1,1311,142067,8.4,12.1,922.8
Jefferson,10/04/2020,2,1.3,123,43641,4.6,2.9,281.8
Wyoming,11/28/2020,4,9.3,461,27046,14.8,34.3,1704.5
Monroe,09/26/2020,1,3,1794,169507,0.6,1.8,1058.4
Lehigh,11/24/2020,235,210,10456,368100,63.8,57,2840.5
Armstrong,05/05/2020,2,0.7,55,65263,3.1,1.1,84.3
Allegheny,07/01/2020,228,111.3,3128,1218452,18.7,9.1,256.7
Lancaster,09/04/2020,47,48,7001,543557,8.6,8.8,1288
Fulton,05/01/2020,1,0.4,5,14523,6.9,3,34.4
Carbon,10/15/2020,8,5.3,533,64227,12.5,8.2,829.9
Delaware,09/18/2020,30,33.6,11137,564751,5.3,5.9,1972
Cambria,09/15/2020,1,2.3,533,131730,0.8,1.7,404.6
Union,11/11/2020,34,20.3,901,44785,75.9,45.3,2011.8
Clinton,10/16/2020,2,1.7,240,38684,5.2,4.4,620.4
Clearfield,09/02/2020,2,2.7,240,79388,2.5,3.4,302.3
Adams,04/09/2020,5,4.3,52,102811,4.9,4.2,50.6
Northumberland,11/14/2020,12,27.3,1940,91083,13.2,30,2129.9
Centre,11/12/2020,130,67.7,4972,162805,79.9,41.6,3054
Forest,10/30/2020,0,0.1,19,7279,0,2,261
Dauphin,09/11/2020,17,18.3,3560,277097,6.1,6.6,1284.7
Delaware,07/04/2020,25,25.4,7366,564751,4.4,4.5,1304.3
Fayette,11/04/2020,21,15.1,1144,130441,16.1,11.6,877
Philadelphia,10/14/2020,194,199,34940,1584138,12.2,12.6,2205.6
York,11/13/2020,119,110.3,7989,448273,26.5,24.6,1782.2
Carbon,06/29/2020,0,1.4,278,64227,0,2.2,432.8
Clearfield,10/21/2020,13,6.4,430,79388,16.4,8.1,541.6
York,05/09/2020,6,12.4,791,448273,1.3,2.8,176.5
Northampton,06/16/2020,6,8.4,3260,304807,2,2.8,1069.5
Delaware,10/26/2020,136,98.1,13431,564751,24.1,17.4,2378.2
Fayette,10/11/2020,3,5.7,874,130441,2.3,4.4,670
Carbon,10/22/2020,3,3.9,560,64227,4.7,6,871.9
York,06/24/2020,17,28.1,1420,448273,3.8,6.3,316.8
Centre,09/28/2020,109,92.3,2727,162805,67,56.7,1675
Indiana,10/22/2020,34,14.3,1033,84501,40.2,16.9,1222.5
Mifflin,11/15/2020,10,36.7,897,46222,21.6,79.4,1940.6
Philadelphia,10/03/2020,101,122.7,32864,1584138,6.4,7.7,2074.6
Bucks,10/17/2020,38,40.1,9623,628195,6,6.4,1531.8
Venango,09/30/2020,6,1.9,98,51266,11.7,3.6,191.2
Lancaster,11/21/2020,384,287.6,14255,543557,70.6,52.9,2622.5
Bucks,08/29/2020,33,25.3,7801,628195,5.3,4,1241.8
Centre,10/18/2020,3,28,3717,162805,1.8,17.2,2283.1
Luzerne,07/12/2020,7,8.7,3028,317646,2.2,2.7,953.3
Allegheny,10/31/2020,134,140,15919,1218452,11,11.5,1306.5
Lawrence,11/24/2020,61,43.1,1992,86184,70.8,50.1,2311.3
Bedford,11/19/2020,38,43.6,1114,48176,78.9,90.4,2312.4
Butler,10/06/2020,24,14.9,1180,187888,12.8,7.9,628
Butler,07/25/2020,11,11,554,187888,5.9,5.9,294.9
Berks,11/27/2020,169,188.6,13696,420152,40.2,44.9,3259.8
Lancaster,11/16/2020,211,224,12657,543557,38.8,41.2,2328.6
Union,04/25/2020,0,0.3,25,44785,0,0.6,55.8
Schuylkill,10/15/2020,17,24.7,1523,142067,12,17.4,1072
Carbon,07/31/2020,3,2.1,359,64227,4.7,3.3,559
Union,04/03/2020,1,0.7,6,44785,2.2,1.6,13.4
Lackawanna,06/17/2020,1,2.4,1608,210793,0.5,1.2,762.8
Northumberland,04/26/2020,1,2.6,98,91083,1.1,2.8,107.6
Delaware,11/07/2020,147,141.9,15046,564751,26,25.1,2664.2
Snyder,09/22/2020,6,6.6,284,40540,14.8,16.2,700.5
Allegheny,11/14/2020,530,380.4,20034,1218452,43.5,31.2,1644.2
Centre,09/22/2020,48,79.9,2129,162805,29.5,49.1,1307.7
Cumberland,06/19/2020,6,7,784,251423,2.4,2.8,311.8
Philadelphia,09/29/2020,123,105.7,32350,1584138,7.8,6.7,2042.1
Luzerne,11/21/2020,140,182.4,8316,317646,44.1,57.4,2618
Bucks,07/17/2020,52,38.6,6386,628195,8.3,6.1,1016.6
Crawford,10/14/2020,4,4.1,366,85063,4.7,4.9,430.3
Venango,06/01/2020,0,0.1,11,51266,0,0.3,21.5
Snyder,06/10/2020,0,1.1,61,40540,0,2.8,150.5
Philadelphia,09/05/2020,81,138.1,30132,1584138,5.1,8.7,1902.1
Centre,05/14/2020,0,1.4,137,162805,0,0.9,84.1
Luzerne,10/13/2020,35,35,4509,317646,11,11,1419.5
Cumberland,10/30/2020,31,28.3,2573,251423,12.3,11.3,1023.4
Bedford,04/16/2020,2,1.3,13,48176,4.2,2.7,27
Philadelphia,10/20/2020,191,223.7,36312,1584138,12.1,14.1,2292.2
York,10/07/2020,33,46.6,5302,448273,7.4,10.4,1182.8
Union,04/06/2020,1,0.9,8,44785,2.2,1.9,17.9
Delaware,07/01/2020,24,22.6,7290,564751,4.2,4,1290.8
Lackawanna,11/23/2020,53,55.1,4827,210793,25.1,26.2,2289.9
York,10/20/2020,40,56.4,6013,448273,8.9,12.6,1341.4
Crawford,04/17/2020,0,0,19,85063,0,0,22.3
Indiana,09/26/2020,9,10.1,717,84501,10.7,12,848.5
Philadelphia,07/01/2020,133,113.6,21683,1584138,8.4,7.2,1368.8
Franklin,08/28/2020,6,6.9,1509,154835,3.9,4.4,974.6
Bucks,04/17/2020,79,81.4,1785,628195,12.6,13,284.1
Pennsylvania,06/25/2020,607,510.4,84508,12807060,4.7,4,659.9
Allegheny,11/02/2020,159,157,16205,1218452,13,12.9,1330
Schuylkill,11/09/2020,87,46.3,2599,142067,61.2,32.6,1829.4
Philadelphia,05/14/2020,205,193.3,15784,1584138,12.9,12.2,996.4
Washington,03/22/2020,0,0.9,7,207346,0,0.4,3.4
Montour,07/29/2020,1,1,92,18240,5.5,5.5,504.4
Chester,05/02/2020,30,46.7,1583,522046,5.7,8.9,303.2
Philadelphia,06/18/2020,133,96.7,20240,1584138,8.4,6.1,1277.7
Northampton,10/14/2020,19,30.7,4937,304807,6.2,10.1,1619.7
Pennsylvania,09/13/2020,692,770,145840,12807060,5.4,6,1138.7
Union,10/07/2020,2,14.3,582,44785,4.5,31.9,1299.5
Clearfield,06/07/2020,0,0.9,49,79388,0,1.1,61.7
Wyoming,11/12/2020,7,10.1,286,27046,25.9,37.5,1057.5
Delaware,09/25/2020,44,35.6,11386,564751,7.8,6.3,2016.1
York,11/19/2020,189,165.9,9031,448273,42.2,37,2014.6
Philadelphia,03/18/2020,15,4.7,34,1584138,0.9,0.3,2.1
Wyoming,08/18/2020,1,0.3,66,27046,3.7,1.1,244
Blair,12/01/2020,81,125.7,4509,122492,66.1,102.6,3681.1
Susquehanna,07/26/2020,0,1,202,40589,0,2.5,497.7
Lebanon,10/12/2020,39,30.9,2396,141314,27.6,21.8,1695.5
Westmoreland,09/27/2020,20,23.3,2249,350611,5.7,6.6,641.5
Lancaster,09/19/2020,25,34.3,7548,543557,4.6,6.3,1388.6
Centre,07/22/2020,4,5.7,304,162805,2.5,3.5,186.7
Armstrong,09/14/2020,3,5.1,388,65263,4.6,7.9,594.5
Elk,05/11/2020,0,0,5,30169,0,0,16.6
Pike,04/29/2020,10,7.1,393,55933,17.9,12.8,702.6
Philadelphia,10/26/2020,398,322.4,38378,1584138,25.1,20.4,2422.6
Chester,08/18/2020,14,25.9,5380,522046,2.7,5,1030.6
Bedford,05/30/2020,0,0.4,41,48176,0,0.9,85.1
Washington,08/14/2020,8,10.6,903,207346,3.9,5.1,435.5
Wayne,08/21/2020,0,1,169,51276,0,2,329.6
York,05/25/2020,11,10.9,952,448273,2.5,2.4,212.4
Montgomery,08/29/2020,48,39.7,11045,828604,5.8,4.8,1333
Wayne,06/30/2020,0,1,138,51276,0,2,269.1
Monroe,07/27/2020,3,4.6,1564,169507,1.8,2.7,922.7
Mckean,07/10/2020,0,0,21,40968,0,0,51.3
Wayne,07/14/2020,1,0.3,142,51276,2,0.6,276.9
Cumberland,05/13/2020,14,11.6,515,251423,5.6,4.6,204.8
Warren,09/14/2020,0,0.7,42,39498,0,1.8,106.3
Tioga,05/03/2020,0,0.3,16,40763,0,0.7,39.3
Indiana,05/05/2020,1,1.9,76,84501,1.2,2.2,89.9
Philadelphia,04/15/2020,321,378.3,7832,1584138,20.3,23.9,494.4
Carbon,07/03/2020,2,1.7,285,64227,3.1,2.7,443.7
Pike,05/01/2020,11,6.9,409,55933,19.7,12.3,731.2
Venango,07/18/2020,0,1.9,50,51266,0,3.6,97.5
Venango,10/30/2020,8,12,298,51266,15.6,23.4,581.3
Sullivan,09/27/2020,0,0.3,13,6071,0,4.7,214.1
Lebanon,03/27/2020,3,2,17,141314,2.1,1.4,12
