Gene	count_DF_927_1_GFP_tdt	count_DF_927_1_GFP	count_DF_980_3_GFP_tdt	count_DF_980_3_GFP
1700017J07Rik	0	0	0	0
1700017L05Rik	0	0	0	0
1700017N19Rik	0	0	0	1
1700018A04Rik	5	4	0	6
1700018B08Rik	0	0	0	0
1700018B24Rik	0	0	0	0
1700018C11Rik	0	0	0	1
1700018F24Rik	0	0	0	0
1700018G05Rik	0	0	0	0
1700018L02Rik	14	30	14	26
1700019A02Rik	4	0	0	0
1700019B03Rik	13	11	1	3
1700019B21Rik	0	0	0	0
1700019C18Rik	0	0	0	0
1700019D03Rik	51	60	109	251
1700019E08Rik	0	0	0	0
1700019G17Rik	143	155	518	129
1700019G24Rik	0	0	0	0
1700019L03Rik	40	25	32	31
1700019M22Rik	0	0	0	0
1700019N19Rik	0	0	0	0
1700019O17Rik	0	0	0	0
1700020A23Rik	9	0	1	2
1700020D05Rik	11	2	4	15
1700020D14Rik	0	0	0	0
1700020G17Rik	0	0	0	0
1700020I14Rik	2384	1706	2057	1898
1700020L24Rik	21	18	16	20
1700020M21Rik	1	0	0	1
1700020N01Rik	0	0	0	0
1700020N15Rik	1	0	0	0
1700020N18Rik	3	6	4	4
1700021F05Rik	487	405	683	833
1700021F07Rik	0	0	0	0
1700021K19Rik	4207	2900	2780	2945
1700021N21Rik	1	0	0	1
1700022A21Rik	0	0	0	0
1700022A22Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022H01Rik	0	0	0	0
1700022H16Rik	0	0	0	0
1700022I11Rik	11	0	2	2
1700023C21Rik	0	0	0	0
1700023F02Rik	0	0	0	0
1700023F06Rik	0	2	0	0
1700024B18Rik	0	0	0	0
1700024F13Rik	2	0	0	0
1700024G13Rik	1	4	3	1
1700024I08Rik	11	4	0	1
1700024N05Rik	0	0	0	0
1700024P04Rik	0	0	0	0
1700024P16Rik	76	61	13	30
1700025B11Rik	0	0	0	0
1700025C18Rik	0	0	0	0
1700025F22Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	473	641	1095	991
1700025J12Rik	0	0	0	0
1700025K24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
1700025N23Rik	4	0	0	0
1700026D08Rik	13	9	7	12
1700026D11Rik	0	0	0	1
1700026F02Rik	0	0	0	0
1700026J14Rik	1	0	0	1
1700026L06Rik	7	1	4	14
1700027A15Rik	1	0	0	0
1700027F06Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	0	0
1700027J07Rik	0	0	0	1
1700028B04Rik	0	0	0	0
1700028D13Rik	0	0	0	0
1700028E10Rik	33	18	29	47
1700028I16Rik	0	0	0	0
1700028J19Rik	36	19	23	31
1700028K03Rik	30	7	14	10
1700028M03Rik	1	0	0	0
1700028P14Rik	9	7	1	5
1700028P15Rik	0	0	0	0
1700029B22Rik	0	0	0	0
1700029F12Rik	0	0	0	0
1700029H14Rik	3	3	2	1
1700029I15Rik	14	11	23	15
1700029J03Rik	0	0	0	0
1700029J07Rik	140	43	44	67
1700029M20Rik	3	6	0	0
1700029N11Rik	0	0	0	0
1700029P11Rik	2	0	1	6
1700030A11Rik	0	0	0	0
1700030C10Rik	49	41	55	12
1700030F04Rik	0	0	0	0
1700030F18Rik	2	0	0	3
1700030J22Rik	59	30	31	32
1700030K09Rik	520	365	490	677
1700030L20Rik	0	0	0	0
1700030M09Rik	0	0	0	0
1700030N03Rik	0	0	0	0
1700030O20Rik	0	0	0	0
1700031A10Rik	0	0	0	0
1700031F05Rik	0	0	2	0
1700031M16Rik	0	0	0	0
1700031P21Rik	0	0	0	0
1700034E13Rik	0	1	0	0
1700034G24Rik	0	0	0	0
1700034H15Rik	18	8	9	3
1700034I23Rik	1	0	1	1
1700034J05Rik	1	0	5	1
1700034K08Rik	1	0	0	0
1700034O15Rik	0	1	0	3
1700034P13Rik	1	0	3	5
1700036G14Rik	0	0	0	0
1700037C18Rik	156	118	117	157
1700037H04Rik	799	636	817	834
1700039E15Rik	0	2	0	0
1700039E22Rik	0	0	0	0
1700040L02Rik	207	179	208	196
1700041A01Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042G07Rik	0	0	1	0
1700042G15Rik	1	0	0	0
1700042O10Rik	2	0	0	0
1700044C05Rik	0	0	0	0
1700044K03Rik	0	0	0	0
1700045H11Rik	3	2	3	6
1700046C09Rik	0	0	0	0
1700047A11Rik	3	0	2	3
1700047E10Rik	0	0	0	0
1700047G03Rik	1	0	0	0
1700047I17Rik2	0	0	0	0
1700047L14Rik	0	0	0	0
1700047M11Rik	0	2	0	2
1700048M11Rik	19	9	9	12
1700048O20Rik	57	20	13	10
1700049E15Rik	2	0	2	0
1700049E22Rik	0	0	0	0
1700049G17Rik	683	312	360	419
1700049L16Rik	0	0	0	0
1700051A21Rik	0	0	0	0
1700052I22Rik	2	0	1	3
1700052K11Rik	330	260	441	614
1700054A03Rik	14	4	14	13
1700054K19Rik	0	0	0	0
1700054M17Rik	0	0	0	0
1700055C04Rik	0	0	0	0
1700056E22Rik	57	17	33	37
1700057G04Rik	0	0	0	0
1700057H15Rik	0	0	0	0
1700057H21Rik	0	0	0	0
1700060C16Rik	0	0	0	0
1700060C20Rik	0	0	0	0
1700061F12Rik	0	0	0	0
1700061G19Rik	85	30	51	48
1700061I17Rik	0	0	1	2
1700061J23Rik	0	0	0	0
1700063A18Rik	0	0	0	0
1700063D05Rik	0	0	2	0
1700063O14Rik	0	0	0	0
1700064J06Rik	0	0	0	0
1700064M15Rik	0	0	0	2
1700065D16Rik	2	0	2	1
1700065I16Rik	0	0	0	0
1700065J11Rik	0	0	0	0
1700065J18Rik	0	0	0	0
1700065L07Rik	0	0	0	0
1700065O20Rik	0	0	0	0
1700066B17Rik	0	0	0	0
1700066B19Rik	40	54	117	57
1700066J03Rik	2	0	3	0
1700066M21Rik	396	316	397	421
1700066N21Rik	0	0	0	0
1700066O22Rik	2	0	0	0
1700067G17Rik	0	0	0	0
1700067K01Rik	23	18	17	15
1700067P10Rik	4	1	0	6
1700069L16Rik	0	0	0	1
1700069P05Rik	0	0	0	0
1700071K01Rik	0	0	0	2
1700071M16Rik	3	2	2	7
1700072B07Rik	0	0	0	0
1700072I22Rik	0	0	0	0
1700072O05Rik	0	0	0	0
1700073E17Rik	1	1	0	0
1700074H08Rik	0	0	2	0
1700074P13Rik	0	0	0	0
1700080E11Rik	0	0	0	0
1700080N15Rik	0	0	0	0
1700080O16Rik	0	0	0	0
1700081H04Rik	0	0	0	0
1700084C01Rik	7	6	6	3
1700084D21Rik	0	0	0	0
1700084E18Rik	24	16	30	22
1700084F23Rik	0	0	0	0
1700084J12Rik	2	1	8	7
1700084M14Rik	0	0	0	0
1700085C21Rik	1	0	0	0
1700086L19Rik	0	0	0	0
1700086O06Rik	124	65	79	76
1700088E04Rik	55	85	113	67
1700091H14Rik	0	0	0	0
1700092C02Rik	0	0	0	0
1700092C10Rik	0	0	0	0
1700092E19Rik	0	0	0	0
1700092K14Rik	0	0	0	0
1700092M07Rik	10	7	10	8
1700093K21Rik	2	1	0	0
1700094D03Rik	280	121	194	216
1700094J05Rik	2	0	1	0
1700094M24Rik	0	0	0	0
1700095A21Rik	0	1	1	0
1700095B10Rik	0	0	0	0
1700095J12Rik	0	5	0	0
1700096J18Rik	6	5	3	7
1700096K18Rik	362	312	279	451
1700096P03Rik	0	0	0	0
1700097N02Rik	33	9	28	26
1700099I09Rik	0	3	7	1
1700100I10Rik	1	0	0	0
1700100L14Rik	1	0	0	2
1700101E01Rik	6	10	14	11
1700101I11Rik	7	3	6	8
1700101O22Rik	0	0	0	0
1700102H20Rik	55	48	59	49
1700102P08Rik	14	22	21	30
1700104L18Rik	0	0	0	0
1700105P06Rik	0	0	7	2
1700106J16Rik	0	0	0	0
1700108F19Rik	3	4	3	3
1700108J01Rik	0	0	0	2
1700109G14Rik	0	0	0	0
1700109G15Rik	0	0	0	0
1700109H08Rik	56	24	47	48
1700109I08Rik	0	0	0	0
1700109K24Rik	75	23	33	41
1700110C19Rik	9	1	7	8
1700110I01Rik	0	0	0	0
1700110I07Rik	0	0	0	0
1700110K17Rik	20	11	5	7
1700111N16Rik	0	0	0	0
1700112E06Rik	452	460	302	438
1700112H15Rik	0	0	0	0
1700112J05Rik	0	0	1	3
1700112J16Rik	15	7	11	25
1700113A16Rik	591	395	393	468
1700113B09Rik	0	0	0	0
1700113H08Rik	0	0	0	0
1700116B05Rik	0	0	0	1
1700119H24Rik	0	2	0	0
1700120C14Rik	6	5	1	10
1700120E14Rik	1	0	1	3
1700120G07Rik	1	0	0	0
1700120K04Rik	15	9	25	48
1700121L16Rik	0	0	0	0
1700121N20Rik	0	0	0	0
1700122C19Rik	0	0	0	0
1700122O11Rik	10	19	24	27
1700123I01Rik	2	0	0	0
1700123J17Rik	0	1	0	0
1700123K08Rik	0	0	0	1
1700123L14Rik	0	0	0	0
1700123M08Rik	38	36	45	49
1700123O12Rik	0	0	0	0
1700123O20Rik	1862	1594	2881	2892
1700123O21Rik	0	0	0	0
1700124L16Rik	8	5	5	9
1700125G02Rik	0	0	0	0
1700125G22Rik	1	2	0	4
1700125H03Rik	3	0	4	8
1700125H20Rik	2	4	6	9
1700126H18Rik	4	2	0	2
1700128A07Rik	0	0	0	0
1700128F08Rik	0	0	0	0
1700129C05Rik	0	0	0	0
1810006J02Rik	2	0	3	0
1810007C17Rik	0	0	0	0
1810007D17Rik	0	0	1	1
1810008I18Rik	11	13	3	16
1810009A15Rik	3	7	1	5
1810009J06Rik	0	0	0	0
1810010D01Rik	24	11	13	80
1810010H24Rik	1406	1939	922	1832
1810011H11Rik	2	0	6	8
1810011O10Rik	198	144	243	155
1810012K16Rik	5	3	7	16
1810013A23Rik	4	5	2	0
1810013L24Rik	2584	1753	2241	2075
1810014B01Rik	213	195	207	360
1810018F18Rik	0	0	1	0
1810019D21Rik	2807	1336	1973	1817
1810020O05Rik	5	0	0	0
1810021B22Rik	133	118	107	133
1810022K09Rik	1361	814	2062	1482
1810024B03Rik	96	52	97	134
1810026B05Rik	1844	765	1393	2137
1810026J23Rik	3117	2621	2731	3273
1810030O07Rik	2358	1617	1775	1921
1810032O08Rik	562	250	561	688
1810034E14Rik	127	68	134	178
1810037I17Rik	4871	2175	5211	6098
1810041H14Rik	91	62	91	113
1810041L15Rik	4	9	1	5
1810043G02Rik	683	652	743	1030
1810043H04Rik	819	543	1346	1547
1810044D09Rik	91	76	142	196
1810046K07Rik	11	4	0	4
1810053B23Rik	0	0	0	1
1810055G02Rik	797	582	765	572
1810058I24Rik	3216	3125	3152	3015
1810062G17Rik	112	96	73	151
1810062O18Rik	19	1	6	5
1810063I02Rik	7	6	15	11
1810064F22Rik	157	58	122	22
1810065E05Rik	0	0	0	0
2010001A14Rik	82	49	92	130
2010001E11Rik	9	5	5	6
2010003K11Rik	1	2	4	7
2010005H15Rik	18	10	0	1
2010009K17Rik	2	0	2	0
2010010A06Rik	6	7	10	5
2010012O05Rik	832	625	673	738
2010016I18Rik	35	17	48	69
2010106C02Rik	0	0	0	0
2010106E10Rik	0	0	0	0
2010107E04Rik	3014	1732	6643	5543
2010107G12Rik	15	6	1	6
2010107G23Rik	905	660	1120	1395
2010109A12Rik	14	4	3	13
2010109I03Rik	2	11	0	0
2010111I01Rik	2054	807	1100	1425
2010204K13Rik	102	46	280	107
2010300C02Rik	2328	2272	1906	2238
2010308F09Rik	0	2	0	0
2010310C07Rik	2	0	2	4
2010315B03Rik	662	331	453	572
2010320M18Rik	858	755	1383	1479
2200002D01Rik	4245	759	4119	1820
2200002J24Rik	2	0	3	1
2210010C04Rik	1	0	0	0
2210011C24Rik	1171	128	213	184
2210013O21Rik	1434	1087	1307	1267
2210015D19Rik	603	651	934	957
2210016F16Rik	3010	2287	4111	4383
2210016L21Rik	1588	1242	1573	1836
2210018M11Rik	2035	1526	1053	1083
2210019I11Rik	0	0	0	0
2210039B01Rik	46	32	21	34
2210404E10Rik	1	0	0	0
2210404O09Rik	358	133	355	358
2210406O10Rik	4	5	2	7
2210407C18Rik	0	0	4	0
2210408F21Rik	50	63	102	88
2210408I21Rik	284	212	233	193
2210409D07Rik	0	0	0	0
2210409E12Rik	0	0	0	0
2210414B05Rik	2	0	0	0
2210416O15Rik	8	7	4	12
2210417A02Rik	2	3	1	0
2210420H20Rik	1	0	2	1
2300002M23Rik	0	0	0	0
2300003K06Rik	0	0	0	0
2300005B03Rik	2	0	0	1
2300009A05Rik	552	503	575	661
2310001H17Rik	129	22	72	41
2310001K24Rik	25	17	37	40
2310002D06Rik	0	0	0	0
2310002F09Rik	32	11	4	8
2310002L09Rik	0	0	0	0
2310003N18Rik	0	0	0	0
2310005A03Rik	0	0	0	0
2310005E17Rik	0	0	0	0
2310007B03Rik	5638	1464	3387	1461
2310008N11Rik	1	0	2	0
2310009A05Rik	427	367	804	895
2310009B15Rik	542	474	1140	1200
2310010G23Rik	41	22	49	75
2310010J17Rik	154	96	170	285
2310011J03Rik	2572	1710	3025	3532
2310015A10Rik	2597	1896	1316	1518
2310015D24Rik	1	0	0	0
2310016D03Rik	0	0	0	0
2310020H05Rik	0	0	0	0
2310022A10Rik	849	857	895	907
2310022B05Rik	8510	4622	3837	3317
2310030A07Rik	0	0	0	0
2310030G06Rik	2282	2066	2531	2589
2310033P09Rik	957	801	1036	1321
2310034C09Rik	0	0	0	0
2310034G01Rik	47	45	43	46
2310034O05Rik	1	0	0	0
2310035C23Rik	4072	2653	3385	3052
2310036O22Rik	7558	5853	8984	9694
2310039H08Rik	953	932	1821	2051
2310039L15Rik	0	2	18	10
2310040G24Rik	81	75	115	200
2310043L19Rik	0	0	6	0
2310043O21Rik	0	0	0	2
2310045N01Rik	2833	2762	3345	4098
2310045n01rik-mef2b	0	0	0	0
2310047M10Rik	1204	935	1052	1478
2310050C09Rik	0	0	0	0
2310057J18Rik	0	0	0	0
2310057M21Rik	548	384	667	594
2310057N15Rik	0	0	0	0
2310061I04Rik	1058	1450	1562	1790
2310061N02Rik	0	0	0	0
2310065F04Rik	0	0	0	0
2310067B10Rik	4858	5669	3763	4648
2310068J16Rik	49	67	24	38
2310069B03Rik	15	12	5	3
2310069G16Rik	0	0	1	0
2310075C17Rik	0	0	0	0
2310079G19Rik	0	0	0	0
2310081J21Rik	0	0	0	0
2400006E01Rik	0	1	9	2
2410002F23Rik	2173	1467	1436	1865
2410003L11Rik	4	2	1	5
2410004B18Rik	1026	606	1184	1353
2410004I01Rik	640	54	111	99
2410004P03Rik	25	27	19	12
2410006H16Rik	2278	2062	3687	5590
2410012E07Rik	0	0	0	0
2410015M20Rik	3237	1916	5735	6432
2410016O06Rik	706	607	541	686
2410017I17Rik	27	9	9	12
2410018L13Rik	16	5	12	5
2410021H03Rik	5	0	5	2
2410089E03Rik	1434	944	755	1024
2410124H12Rik	2	0	0	1
2410127L17Rik	1821	906	1312	1434
2410131K14Rik	694	527	788	986
2410137M14Rik	8	2	0	2
2410141K09Rik	0	0	0	0
2500002B13Rik	26	19	49	18
2500004C02Rik	208	165	175	230
2510002D24Rik	1313	907	1469	2176
2510003B16Rik	17	4	7	5
2510009E07Rik	843	1042	1033	1255
2510039O18Rik	5133	3746	4096	4952
2610001J05Rik	3281	1768	3330	2771
2610002M06Rik	1819	1365	1340	1316
2610005L07Rik	2114	1171	1028	1139
2610008E11Rik	1476	693	823	939
2610015P09Rik	328	178	227	352
2610016A17Rik	0	0	0	2
2610020C07Rik	83	27	54	51
2610020H08Rik	187	89	195	245
2610027K06Rik	17	8	13	26
2610028E06Rik	0	0	0	0
2610028H24Rik	289	397	735	267
2610035D17Rik	81	87	194	395
2610035F20Rik	0	0	0	0
2610037D02Rik	0	1	0	0
2610042L04Rik	0	0	0	0
2610044O15Rik8	509	266	477	400
2610100L16Rik	0	0	0	0
2610203C22Rik	20	12	16	19
2610206C17Rik	137	78	133	142
2610301B20Rik	990	829	1166	1303
2610305D13Rik	10	8	0	4
2610306M01Rik	274	180	335	482
2610307P16Rik	210	29	31	27
2610316D01Rik	0	0	0	0
2610318N02Rik	8	4	22	14
2610507B11Rik	13685	15770	13475	13488
2610507I01Rik	843	681	495	924
2610524H06Rik	303	261	410	395
2610528A11Rik	2	2	4	1
2610528J11Rik	1059	976	1761	1857
2700029M09Rik	1045	642	1283	1240
2700038G22Rik	84	57	38	74
2700046A07Rik	40	29	18	19
2700046G09Rik	99	66	91	143
2700049A03Rik	961	670	630	647
2700054A10Rik	15	16	8	15
2700060E02Rik	5102	4788	8456	8368
2700062C07Rik	794	523	1026	913
2700069I18Rik	0	1	0	0
2700070H01Rik	0	0	1	0
2700081O15Rik	1902	1123	853	1252
2700089I24Rik	0	0	0	0
2700094K13Rik	2373	1732	3870	5400
2700097O09Rik	193	61	339	284
2700099C18Rik	68	35	76	37
2810001G20Rik	381	250	561	636
2810002D19Rik	100	89	238	221
2810004N23Rik	1205	1030	2168	2095
2810006K23Rik	236	178	312	382
2810013P06Rik	966	641	706	1080
2810021J22Rik	716	533	591	677
2810025M15Rik	377	308	432	562
2810029C07Rik	118	35	30	32
2810032G03Rik	16	26	39	35
2810047C21Rik1	33	8	18	30
2810049E08Rik	0	0	0	0
2810403A07Rik	5280	2630	3712	3773
2810403D21Rik	167	100	143	151
2810404M03Rik	0	0	0	0
2810405F15Rik	0	0	0	1
2810408A11Rik	172	161	178	308
2810408I11Rik	13	9	26	8
2810410L24Rik	1201	701	513	872
2810417H13Rik	107	160	327	156
2810428I15Rik	2586	2070	4511	4682
2810429I04Rik	8	2	0	9
2810433D01Rik	173	28	84	31
2810442N19Rik	8	1	1	2
2810454H06Rik	81	48	75	122
2810459M11Rik	96	112	147	192
2810468N07Rik	0	1	0	0
2810471M01Rik	0	0	0	0
2810474O19Rik	4584	1696	3098	1739
2900005J15Rik	200	71	47	96
2900008C10Rik	59	60	56	84
2900009J06Rik	7	10	13	31
2900011O08Rik	6	4	1	2
2900026A02Rik	2200	1975	1074	719
2900041M22Rik	0	1	2	3
2900052N01Rik	1	0	0	0
2900055J20Rik	0	0	0	1
2900057B20Rik	0	0	0	0
2900060B14Rik	139	170	305	168
2900076A07Rik	299	131	165	247
2900079G21Rik	0	0	0	0
2900092C05Rik	0	0	0	0
2900092D14Rik	0	0	2	0
2900097C17Rik	9810	7499	5559	5358
3000002C10Rik	113	70	114	169
3010001F23Rik	16	8	31	10
3010026O09Rik	197	137	158	206
3100003L05Rik	0	0	0	0
3110001I22Rik	156	70	151	159
3110002H16Rik	2186	1838	3122	3201
3110009E18Rik	157	120	122	178
3110009F21Rik	0	0	0	0
3110015C05Rik	0	0	0	0
3110021A11Rik	10	11	11	31
3110021N24Rik	229	144	157	172
3110035E14Rik	0	1	1	1
3110039I08Rik	205	29	58	20
3110039M20Rik	0	0	0	0
3110040N11Rik	633	411	861	848
3110043O21Rik	544	375	606	720
3110045C21Rik	2	4	2	7
3110052M02Rik	572	276	271	490
3110056K07Rik	170	90	141	196
3110057O12Rik	281	70	118	202
3110062M04Rik	191	135	258	236
3110070M22Rik	36	40	26	46
3110079O15Rik	4	0	3	4
3110082I17Rik	803	594	809	1155
3110082J24Rik	0	0	0	0
3110099E03Rik	0	1	0	0
3200001D21Rik	13	14	16	24
3300002I08Rik	39	26	45	42
3300002P13Rik	0	0	0	0
3300005D01Rik	1	1	0	3
3425401B19Rik	0	0	0	1
3632451O06Rik	45	16	37	44
3632454L22Rik	41	7	5	12
3830403N18Rik	1	3	14	1
3830406C13Rik	1169	797	1109	1259
3830408C21Rik	55	47	25	44
3830417A13Rik	0	0	0	1
3830432H09Rik	6	2	1	2
3930402G23Rik	166	205	321	180
4430402I18Rik	15	12	16	21
4631405J19Rik	41	12	13	22
4632404H12Rik	352	218	206	308
4632415L05Rik	693	562	606	725
4632427E13Rik	34	17	22	55
4632428C04Rik	315	109	208	201
4632428N05Rik	116	155	104	122
4732416N19Rik	7	5	0	3
4732456N10Rik	0	0	0	0
4732471J01Rik	99	65	82	88
4732490B19Rik	3	0	0	0
4732491K20Rik	123	67	61	86
4831407H17Rik	1	0	0	1
4831440E17Rik	123	50	59	98
4833411C07Rik	2	2	2	2
4833412C05Rik	3	6	0	0
4833415N18Rik	0	5	0	1
4833417C18Rik	47	15	43	62
4833418N02Rik	489	370	310	433
4833419F23Rik	45	39	14	32
4833420G17Rik	2230	1110	1200	1489
4833422C13Rik	4	9	6	10
4833422M21Rik	0	0	0	0
4833423E24Rik	2	0	0	0
4833427F10Rik	2	0	1	3
4833427G06Rik	9	7	7	4
4833428L15Rik	1	0	2	1
4833439L19Rik	6796	6301	6411	6651
4921501E09Rik	0	0	0	0
4921504A21Rik	7	1	5	7
4921504E06Rik	0	0	2	1
4921506M07Rik	134	111	98	254
4921507L20Rik	41	13	32	38
4921507P07Rik	358	283	230	338
4921508D12Rik	0	0	0	0
4921509C19Rik	0	0	0	0
4921509O07Rik	1	0	0	0
4921511C10Rik	1	1	0	0
4921511C20Rik	0	0	0	0
4921511H03Rik	0	0	0	0
4921511I17Rik	7	2	0	0
4921511M17Rik	0	0	0	0
4921513I03Rik	11	2	6	3
4921515E04Rik	0	0	0	0
4921517D22Rik	0	0	0	0
4921518K17Rik	7	1	4	4
4921524J17Rik	1119	572	641	880
4921524L21Rik	0	0	0	0
4921525O09Rik	0	0	0	0
4921529L05Rik	0	1	0	0
