State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	158	0	0	0	21	0	0	0	0	0	179
AL	182	86	114	0	0	0	528	249	7	72	1,238
AR	0	35	38	23	1	64	0	0	0	0	161
AZ	0	14	42	14	0	9	20	0	5	0	104
CA	1,310	323	110	216	323	3,575	83	3,316	182	2,510	11,948
CO	285	5	28	25	17	0	10	13	3	7	393
CT	185	2	52	2	67	27	2	7	1	5	350
DC	560	11	0	0	0	373	0	2	0	0	946
DE	13	0	0	14	0	0	0	4,069	0	45	4,141
FL	1,247	25	4	0	15	7,142	0	0	4	0	8,437
GA	636	16	12	0	1,423	1,702	0	5	0	0	3,794
HI	0	0	0	0	0	0	6	0	0	0	6
IA	261	4	150	260	11	5	2,556	107	34	49	3,437
ID	0	0	0	0	0	0	0	0	0	43	43
IL	535	12	154	183	6	88	7	277	10	7	1,279
IN	122	188	394	21	119	8	542	142	0	0	1,536
KS	0	4	141	23	61	19	0	9	0	55	312
KY	121	30	0	0	0	4	79	3	45	180	462
LA	172	1	0	0	0	9,727	2	10	0	0	9,912
MA	1,102	1	47	450	916	1,570	741	1,242	24	75	6,168
MD	5,683	0	5	906	3,274	5,906	1	61	34	42	15,912
ME	0	0	0	0	0	0	0	66	0	91	157
MI	6	57	509	11,446	0	214	50	277	5	0	12,564
MN	6	2	125	311	56	8	186	184	87	139	1,104
MO	149	233	333	139	0	25	192	0	0	0	1,071
MS	117	7	1	0	0	14	0	1	0	6	146
MT	38	0	0	0	159	0	0	0	35	0	232
NC	255	18	70	1,247	0	15	3	28	0	2	1,638
ND	0	0	0	0	0	0	0	0	129	0	129
NE	109	0	1	0	113	0	0	0	0	0	223
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	0	51	495	335	733	1,023	11	284	0	0	2,932
NM	416	2	27	0	122	793	0	3	0	0	1,363
NV	0	0	0	0	0	0	0	0	0	0	0
NY	445	42	57	276	1,210	204	140	367	31	26	2,798
OH	428	161	114	764	22	62	11	149	7	2	1,720
OK	279	0	2	0	8	508	0	25	21	98	941
OR	116	0	0	0	0	1,915	4	0	0	0	2,035
PA	657	86	220	407	429	138	59	1,061	171	231	3,459
PR	0	0	0	0	0	0	0	0	0	0	0
RI	98	0	0	0	194	8	0	2	0	14	316
SC	7,905	0	4	8	45	3,751	0	2	0	0	11,715
SD	0	0	0	0	19	2	0	0	163	370	554
TN	225	5	1	0	684	0	0	0	0	2	917
TX	2,671	23	182	231	109	2,312	333	1,671	332	942	8,806
UT	2	0	0	0	0	0	5	0	15	0	22
VA	201	0	20	3	26	5	133	30	10	0	428
VT	0	0	0	0	0	0	0	0	0	0	0
WA	180	0	16	127	0	3,508	1	730	0	66	4,628
WI	2,110	11	4,218	93	0	1,969	130	1,238	10	249	10,028
WV	0	0	0	0	0	0	0	0	0	0	0
WY	105	0	0	0	0	0	0	0	51	0	156
REPORT TOTAL	29,090	1,455	7,686	17,524	10,183	46,693	5,835	15,630	1,416	5,328	140,840
