State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	316	0	0	0	0	0	0	0	0	0	316
AL	202	134	538	12	18	44	475	580	36	51	2,090
AR	13	5	61	130	1	36	832	226	0	297	1,601
AZ	408	51	270	29	93	30	495	102	38	4	1,520
CA	7,289	655	1,583	4,615	2,581	3,736	4,063	11,374	1,899	437	38,232
CO	693	137	188	328	168	0	578	346	596	90	3,124
CT	420	0	195	78	16	77	461	147	28	0	1,422
DC	533	3	12	41	120	93	677	154	53	0	1,686
DE	0	0	0	10	0	0	10	922	0	21	963
FL	1,144	270	310	204	243	209	1,514	379	214	8	4,495
GA	1,934	269	231	838	3,237	2,235	1,079	549	103	111	10,586
HI	0	0	9	0	0	0	101	0	0	0	110
IA	126	410	834	416	741	10	648	2,388	81	52	5,706
ID	77	41	111	0	0	0	0	6	0	0	235
IL	522	379	1,495	1,461	2,074	524	955	1,663	136	279	9,488
IN	196	155	437	113	429	52	645	655	186	35	2,903
KS	138	53	375	1,140	12	90	314	33	0	93	2,248
KY	240	77	288	31	134	107	383	143	31	4	1,438
LA	714	95	423	7	72	1,590	38	420	0	155	3,514
MA	2,106	55	433	5,493	1,984	1,883	3,282	7,356	284	342	23,218
MD	12,596	6	498	3,855	1,556	3,503	1,821	1,608	267	197	25,907
ME	24	340	52	0	0	0	15	6	0	0	437
MI	1,672	91	744	995	790	1,111	1,719	1,607	435	2	9,166
MN	281	1,440	2,288	1,070	429	179	3,012	3,511	608	305	13,123
MO	165	422	1,020	2,868	3,452	125	841	3,938	130	22	12,983
MS	28	6	79	210	0	49	215	454	24	3	1,068
MT	1	0	0	36	82	4	0	17	31	0	171
NC	557	750	1,262	753	875	1,506	1,608	553	151	4,392	12,407
ND	4	56	32	0	0	0	21	0	0	7	120
NE	1,871	78	82	15	1,033	50	176	146	0	280	3,731
NH	659	0	0	0	902	6	96	0	0	0	1,663
NJ	491	30	940	4,523	3,532	1,372	681	2,933	21	0	14,523
NM	86	0	350	89	0	540	12	253	0	0	1,330
NV	219	12	381	8	0	0	89	0	0	0	709
NY	2,551	697	1,630	1,365	3,817	545	1,279	5,670	241	115	17,910
OH	2,356	799	2,115	931	1,324	290	2,743	2,733	194	151	13,636
OK	325	60	351	192	0	95	24	101	49	96	1,293
OR	248	86	220	568	11	1,882	422	277	146	90	3,950
PA	1,008	496	1,157	1,865	428	998	1,692	7,763	278	148	15,833
PR	30	0	0	0	70	220	26	23	0	0	369
RI	125	0	0	0	343	34	82	648	44	0	1,276
SC	12	206	227	160	0	131	317	112	4	0	1,169
SD	231	0	0	0	0	5	0	0	68	66	370
TN	774	64	368	138	572	285	1,659	508	2	74	4,444
TX	1,970	109	628	7,522	1,958	1,789	3,151	7,590	223	2,632	27,572
UT	0	136	349	30	35	0	188	1,129	306	64	2,237
VA	448	52	227	36	4	57	3,904	421	5	213	5,367
VT	1	9	9	0	0	0	34	0	950	0	1,003
WA	518	105	305	289	95	456	1,670	269	0	157	3,864
WI	1,581	219	1,452	1,133	1,982	1,866	538	2,300	143	147	11,361
WV	0	36	22	0	2	0	0	24	73	0	157
WY	63	30	42	0	0	0	0	0	29	7	171
REPORT TOTAL	47,966	9,124	24,623	43,597	35,215	27,814	44,585	72,037	8,107	11,147	324,215
