State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	0	0	0	0	0	0	0	0	0	0	0
AL	5	0	0	83	0	38	0	38	0	0	164
AR	0	0	0	0	0	0	0	0	0	0	0
AZ	3	0	0	0	0	0	0	0	0	0	3
CA	663	0	17	273	550	65	0	369	0	0	1,937
CO	179	104	7	783	311	0	0	0	9	0	1,393
CT	2	0	99	0	321	14	0	0	0	0	436
DC	209	0	0	207	0	0	0	0	0	0	416
DE	0	0	0	0	0	0	0	0	0	0	0
FL	26	0	10	38	0	8	0	30	0	0	112
GA	378	5	24	34	1,828	18	18	1,381	0	31	3,717
HI	0	0	0	0	0	0	0	0	0	0	0
IA	0	0	1	119	8,024	0	0	2	0	0	8,146
ID	7	0	0	0	0	0	0	0	72	0	79
IL	142	12	3	44	10	0	119	128	0	0	458
IN	12	0	0	0	0	0	0	0	0	0	12
KS	0	0	11	0	0	6	0	0	0	0	17
KY	12	0	0	0	0	0	0	0	0	0	12
LA	0	0	0	0	0	2	0	27	0	0	29
MA	313	0	0	285	418	22	73	189	0	0	1,300
MD	163	0	10	6,703	656	404	160	324	0	163	8,583
ME	0	0	0	0	0	0	0	0	0	0	0
MI	36	0	1	9,680	0	80	28	0	243	0	10,068
MN	43	0	0	234	28	3	0	59	0	0	367
MO	23	22	172	0	24,282	0	0	0	0	0	24,499
MS	0	0	0	0	0	0	0	2	0	0	2
MT	0	0	0	0	0	0	0	15	0	0	15
NC	0	0	6	454	0	0	0	0	0	0	460
ND	0	0	0	0	0	0	0	0	0	0	0
NE	19	0	0	0	0	0	0	15	0	0	34
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	6	0	61	1,218	1,688	49	0	137	0	0	3,159
NM	270	0	0	41	0	132	11	141	0	0	595
NV	0	0	0	0	0	0	0	0	0	0	0
NY	458	1	49	2,025	5,327	46	0	256	0	0	8,162
OH	143	0	0	1,299	15	239	0	538	0	0	2,234
OK	0	0	0	0	0	0	0	392	0	38	430
OR	51	0	0	0	0	0	0	0	0	0	51
PA	307	6	12	256	50	31	1,656	457	0	0	2,775
PR	0	0	0	0	0	25	0	0	0	0	25
RI	0	0	0	0	0	0	0	0	0	0	0
SC	5	0	0	0	52	0	0	0	0	0	57
SD	0	0	0	0	0	0	0	0	0	0	0
TN	527	0	0	18	0	0	69	0	0	0	614
TX	269	0	0	1,016	696	103	35	124	0	15	2,258
UT	0	0	0	259	2,097	0	0	0	0	0	2,356
VA	0	0	0	0	63	8	0	1	0	0	72
VT	3	0	0	36	0	0	0	0	0	0	39
WA	17	0	0	26	0	0	0	0	0	0	43
WI	323	0	0	8	0	0	0	474	0	0	805
WV	0	0	0	0	0	0	0	70	0	0	70
WY	0	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	4,614	150	483	25,139	46,416	1,293	2,169	5,169	324	247	86,004
